epoch,train_loss,val_acc,lr
1,2.6574,0.5391,0.0003
2,1.8309,0.8043,0.000298
3,1.3735,0.8707,0.000296
4,1.1657,0.8957,0.000293
5,1.0569,0.9207,0.000289
6,0.9612,0.9207,0.000284
7,0.9142,0.9185,0.000278
8,0.8812,0.9272,0.000271
9,0.8425,0.9413,0.000264
10,0.8309,0.938,0.000256
11,0.8152,0.9413,0.000247
12,0.791,0.9402,0.000238
13,0.7641,0.9424,0.000228
14,0.7567,0.9424,0.000218
15,0.7371,0.9533,0.000207
16,0.728,0.9467,0.000196
17,0.7211,0.9565,0.000185
18,0.7182,0.9565,0.000173
19,0.7082,0.9413,0.000162
20,0.7064,0.9543,0.00015
21,0.7061,0.9543,0.000138
22,0.6936,0.95,0.000127
23,0.6918,0.9489,0.000115
24,0.6857,0.9522,0.000104
25,0.6814,0.9511,9.3e-05
26,0.6743,0.9522,8.2e-05
27,0.6806,0.95,7.2e-05
